"file","categoryname","price","mass","volume","description"
"cloaking_device","upgrades/Deprecated",259000,8.9,1,"@upgrades/shield_regenerator.png@<u/Miscellaneous>This device uses gravity manipulation technology. A powerful gravitational lens bends the radiation emitted by active sensors around the ship. This renders the vehicle completely invisible to both active and passive sensor"
"shield_4_Level1","upgrades/Shield_Systems/Light",10000,0.01,1,"@upgrades/shields.png@<u/Shields>A combination of magnetic and gravitic protective shields. 4 emitter model."
"shield_4_Level2","upgrades/Shield_Systems/Light",30000,0.01,1,"@upgrades/shields.png@<u/Shields>A combination of magnetic and gravitic protective shields. 4 emitter model."
"shield_4_Level3","upgrades/Shield_Systems/Medium",50000,0.01,1,"@upgrades/shields.png@<u/Shields>A combination of magnetic and gravitic protective shields. 4 emitter model."
"shield_4_Level4","upgrades/Shield_Systems/Medium",100000,0.01,1,"@upgrades/shields.png@<u/Shields>A combination of magnetic and gravitic protective shields. 4 emitter model."
"shield_4_Level5","upgrades/Shield_Systems/Heavy",150000,0.01,1,"@upgrades/shields.png@<u/Shields>A combination of magnetic and gravitic protective shields. 4 emitter model."
"reactor_level_0","upgrades/Reactors/Light",4000,0.01,1,"@upgrades/engine1.png@<u/Reactors>Standard light reactor (level 0)."
"reactor_level_1","upgrades/Reactors/Light",10000,0.01,1,"@upgrades/engine1.png@<u/Reactors>Standard light reactor (level 1)."
"reactor_level_2","upgrades/Reactors/Light",30000,0.01,1,"@upgrades/engine2.png@<u/Reactors>Standard light reactor (level 2)."
"reactor_level_3","upgrades/Reactors/Medium",60000,0.01,1,"@upgrades/engine3.png@<u/Reactors>Standard medium reactor (level 3)."
"reactor_level_4","upgrades/Reactors/Medium",100000,0.01,1,"@upgrades/engine3.png@<u/Reactors>Standard medium reactor (level 4)."
"reactor_level_5","upgrades/Reactors/Heavy",150000,0.01,1,"@upgrades/engine5.png@<u/Reactors>Standard heavy reactor (level 5)."
"mult_turn_jet_enhancer","upgrades/Engines/Engine_Enhancements_Medium",40000,0.01,1,"@upgrades/thrustenhancer.png@<u/Drives>The addition of more vectored thrusting units in the extremes of the ship enhances turning."
"mult_thrust_enhancer","upgrades/Engines/Engine_Enhancements_Medium",60000,0.01,1,"@upgrades/thrustenhancer.png@<u/Drives>Playing out the tolerances on the inertial compensator allows for improved acceleration."
"add_cargo_volume","upgrades/Miscellaneous",10000,40,1,"@upgrades/cargo_expansion.png@<u/Miscellaneous>Volume: varies by ship. Not every ship can support an internal cargo expansion, and they interfere with the inertial compensators, but these tend to pay for themselves quickly with the additional profits gained from all that extra cargo."
"afterburner","upgrades/Engines/Engine_Enhancements_Medium",9000,0.01,1,"@upgrades/afterburner.png@<u/Drives>Afterburners more than double your speed and can mean the difference between life and death in asteroid fields and combat. As they are relatively inexpensive, I highly recommend buying afterburners, especially if you are flying older ships."
"tractor_beam","upgrades/Weapons/Beam_Arrays_Light",7500,0.01,1,"@upgrades/tractor.png@<u/Miscellaneous>A tractor beam is the key to efficient salvage. Cargo is usually found after a battle, waiting for collection. Items collected are automatically added to your manifest."
"laser","upgrades/Weapons/Mounted_Guns_Light",1000,0.01,1,"@upgrades/laser.png@<u/Guns>Though not a laser by any stretch of the imagination, due to its resemblance to the so called 'lasers' of classic games and movies of the previous millenniums, the misnomer has stuck stronger than space rated epoxy. Cheap and utterly dependable."
"steltek_gun","upgrades/Weapons/Alien",0,0.01,1,"@upgrades/fusion.png@<u/Guns>Weapon of unknown alien origin."
"steltek_gun_boosted","upgrades/Weapons/Alien",0,0.01,1,"@upgrades/fusion.png@<u/Guns>Weapon of unknown alien origin, emitting intense radiations."
"steltek_gun_mass","upgrades/Weapons/Alien",0,0.01,1,"@upgrades/fusion.png@<u/Guns>Cluster of weapons of unknown alien origin."
"meson_blaster","upgrades/Weapons/Mounted_Guns_Light",2500,0.01,1,"@upgrades/meson.png@<u/Guns>The meson blaster fires pulses of highly unstable quark-antiquark pairs. These extremely reactive conglomerations are destroyed upon impact, scattering the resulting individual particles to interact with the target at a sub-atomic level."
"mass_driver","upgrades/Weapons/Mounted_Guns_Light",1500,0.01,1,"@upgrades/massdriver.png@<u/Guns>Long before the dawn of modern man, it was known to various hominids that hurling a blunt object was a reasonable way to deliver damage from a distance. This is basically what the mass driver does, only with even less interesting projectiles."
