,Agricultural,,Mining,,New Const,,New Detroit,,Oxford,,Perry,,Pirate,,Pleasure,,Refinery
Grain,18,60,60,84,60,69,60,89,21,60,60,79,60,89,60,69,60,89
Generic Foods,35,90,90,119,90,104,90,132,51,90,90,119,90,132,90,119,90,119
Luxury Foods,26,100,100,144,100,144,100,156,56,100,100,144,100,156,100,129,100,144
Furs,261,300,300,319,300,319,300,319,300,319,300,319,300,339,300,300,300,319
Liquor,31,50,50,59,50,54,50,54,50,54,50,64,50,64,50,54,50,54
Pets,71,100,91,100,91,100,91,100,91,100,91,100,100,119,100,149,91,100
Wood,66,100,100,109,100,119,100,149,71,100,100,109,100,109,100,109,100,139
Gems,1131,1200,951,1200,1051,1200,1200,1379,1200,1269,1131,1200,1200,1269,1200,1269,1200,1299
Iron,50,54,26,50,50,64,50,64,50,54,50,64,50,64,36,50,50,74
Tungsten,100,109,61,100,86,100,100,134,91,100,100,119,100,129,86,100,100,144
Plutonium, , ,901,1000, , ,1000,1224, , , , , , , , ,1000,1199
Uranium, , ,401,500, , ,500,649, , , , , , , , ,500,589
Artwork,100,114,100,114,81,100,100,114,100,114,100,114,86,100,100,149,100,114
Games,50,54,50,59,36,50,50,59,50,54,50,54,50,54,46,50,50,64
Movies,50,64,50,74,16,50,50,59,50,59,50,59,50,99,41,50,50,64
Advanced Fuels,491,500,500,509,491,500,461,500,491,500,500,509,500,599,491,500,481,500
Communications,50,50,50,50,50,69,36,50,50,69,50,50,50,64,50,69,41,50
Computers,70,74,70,84,70,79,61,70,70,74,70,79,70,94,70,74,66,70
Construction,100,119,100,139, , ,71,100,100,104, , , , ,100,119,81,100
Factory Equipment,100,119,81,100,81,100,71,100,100,139,81,100,81,100,81,100,81,100
Food Dispensers,100,100,100,129,100,119,71,100,100,100,100,109,100,139,100,119,81,100
Holographics,481,500,500,549,481,500,461,500,481,500,481,500,500,599,500,509,481,500
Home Appliances,100,119,100,119,100,109,61,100,100,109,100,109,100,100,100,129,76,100
Home Entertainment,100,109,100,129,100,119,81,100,91,100,91,100,100,114,100,109,91,100
Medical Equipment,500,509,500,549,491,500,461,500,500,509,500,509,500,599,500,509,491,500
Mining Equipment, , ,100,139, , ,71,100, , , , , , , , ,81,100
Plastics,50,69,50,59,50,59,21,50,50,59,50,59,50,64,50,59,21,50
Pre Fabs,50,69, , ,31,50,31,50,50,64, , , , ,50,64,41,50
Robot Servants,471,500,471,500,481,500,461,500,471,500,471,500,471,500,500,599,471,500
Robot Workers,300,319,300,339,291,300,271,300,291,300,291,300,291,300,291,300,291,300
Software,91,100,100,119,91,100,71,100,91,100,91,100,100,119,91,100,81,100
Space Salvage,181,200,200,219,181,200,171,200,181,200,200,209,200,239,181,200,181,200
Textiles,50,54,50,54,50,54,41,50,50,59,50,54,50,54,50,64,46,50
Weaponry,300,309,300,319,300,304,271,300,300,309,251,300,300,379,300,309,291,300
Books,45,54,45,54,45,67,45,54,36,45,45,54,45,54,45,54,45,54
PlayThing™,50,64,50,64,50,50,50,50,50,50,50,59,50,54,36,50,50,64
Brilliance,200,249,200,249, , ,200,329, , , , ,151,200,200,249,200,249
Slaves,700,779,700,779, , ,700,979, , , , ,601,700,700,799,700,779
Tobacco,100,119,100,119, , ,100,149, , , , ,81,100,100,119,100,119
Ultimate,1000,1249,1000,1249, , ,1000,1499, , , , ,801,1000,1000,1499,1000,1249
